method,param,value
rf_g,n_estimators,450.0
rf_g,max_depth,3.0
rf_g,min_samples_split,18.0
rf_g,min_samples_leaf,7.0
rf_g,max_features,0.3
lgbm_g,n_estimators,550.0
lgbm_g,max_depth,10.0
lgbm_g,learning_rate,0.006047360568422396
lgbm_g,num_leaves,81.0
lgbm_g,min_child_samples,11.0
lgbm_g,subsample,0.5
lgbm_g,colsample_bytree,1.0
lgbm_g,reg_alpha,29.426595861790908
lgbm_g,reg_lambda,2.6027328087893213
xgb_g,n_estimators,550.0
xgb_g,max_depth,8.0
xgb_g,learning_rate,0.006047360568422396
xgb_g,min_child_weight,10.0
xgb_g,gamma,9.371559479423412e-05
xgb_g,subsample,0.5
xgb_g,colsample_bytree,1.0
xgb_g,reg_alpha,29.426595861790908
xgb_g,reg_lambda,2.6027328087893213
